row,zone_name,hour,parkings_booked
1086,3-1,6,4
1087,3-1,7,3
1088,3-1,8,4
1089,3-1,9,5
1090,3-1,10,3
1091,3-1,11,3
1092,3-1,12,4
1093,3-1,13,4
1094,3-1,14,5
1095,3-1,15,5
1096,3-1,16,5
1097,3-1,17,4
1098,3-1,18,4
1099,3-1,19,5
1100,3-1,20,4
1101,3-1,21,4
1102,3-1,22,5
1103,3-1,23,30
1104,30-1,0,3
1105,30-1,1,4
1106,30-1,2,4
1107,30-1,3,4
1108,30-1,4,4
1109,30-1,5,4
1110,30-1,6,6
1111,30-1,7,8
1112,30-1,8,14
1113,30-1,9,24
1114,30-1,10,28
1115,30-1,11,27
1116,30-1,12,22
1117,30-1,13,13
1118,30-1,14,9
1119,30-1,15,9
1120,30-1,16,6
1121,30-1,17,5
1122,30-1,18,5
1123,30-1,19,4
1124,30-1,20,4
1125,30-1,21,4
1126,30-1,22,4
1127,30-1,23,4
1128,31-1,0,5
1129,31-1,1,6
1130,31-1,2,6
1131,31-1,3,6
1132,31-1,4,6
1133,31-1,5,6
1134,31-1,6,7
1135,31-1,7,10
1136,31-1,8,13
1137,31-1,9,19
1138,31-1,10,23
1139,31-1,11,21
1140,31-1,12,16
1141,31-1,13,11
1142,31-1,14,8
1143,31-1,15,8
1144,31-1,16,7
1145,31-1,17,9
1146,31-1,18,10
1147,31-1,19,6
1148,31-1,20,6
1149,31-1,21,6
1150,31-1,22,6
1151,31-1,23,6
1152,31-2,0,5
1153,31-2,1,6
1154,31-2,2,6
1155,31-2,3,6
1156,31-2,4,6
1157,31-2,5,6
1158,31-2,6,7
1159,31-2,7,11
1160,31-2,8,19
1161,31-2,9,31
1162,31-2,10,36
1163,31-2,11,33
1164,31-2,12,24
1165,31-2,13,17
1166,31-2,14,14
1167,31-2,15,12
1168,31-2,16,9
1169,31-2,17,9
1170,31-2,18,8
1171,31-2,19,6
1172,31-2,20,6
1173,31-2,21,6
1174,31-2,22,6
1175,31-2,23,6
1176,32-1,0,5
1177,32-1,1,6
1178,32-1,2,6
1179,32-1,3,6
1180,32-1,4,6
1181,32-1,5,6
1182,32-1,6,7
1183,32-1,7,13
1184,32-1,8,17
1185,32-1,9,23
1186,32-1,10,23
1187,32-1,11,19
1188,32-1,12,17
1189,32-1,13,14
1190,32-1,14,16
1191,32-1,15,16
1192,32-1,16,15
1193,32-1,17,14
1194,32-1,18,17
1195,32-1,19,17
1196,32-1,20,17
1197,32-1,21,16
1198,32-1,22,6
1199,32-1,23,6
1200,32-2,0,6
1201,32-2,1,8
1202,32-2,2,8
1203,32-2,3,8
1204,32-2,4,8
1205,32-2,5,8
1206,32-2,6,9
1207,32-2,7,13
1208,32-2,8,17
1209,32-2,9,29
1210,32-2,10,34
1211,32-2,11,34
1212,32-2,12,27
1213,32-2,13,21
1214,32-2,14,22
1215,32-2,15,18
1216,32-2,16,13
1217,32-2,17,13
1218,32-2,18,19
1219,32-2,19,24
1220,32-2,20,25
1221,32-2,21,21
1222,32-2,22,8
1223,32-2,23,8
1224,32-3,0,4
1225,32-3,1,5
1226,32-3,2,5
1227,32-3,3,5
1228,32-3,4,5
1229,32-3,5,5
1230,32-3,6,5
1231,32-3,7,5
1232,32-3,8,0
1233,32-3,9,4
1234,32-3,10,10
1235,32-3,11,12
1236,32-3,12,9
1237,32-3,13,8
1238,32-3,14,7
1239,32-3,15,6
1240,32-3,16,8
1241,32-3,17,11
1242,32-3,18,12
1243,32-3,19,13
1244,32-3,20,13
1245,32-3,21,11
1246,32-3,22,5
1247,32-3,23,5
1248,33-1,0,0
1249,33-1,1,0
1250,33-1,2,0
1251,33-1,3,0
1252,33-1,4,0
1253,33-1,5,0
1254,33-1,6,0
1255,33-1,7,0
1256,33-1,8,0
1257,33-1,9,2
1258,33-1,10,3
1259,33-1,11,3
1260,33-1,12,2
1261,33-1,13,2
1262,33-1,14,1
1263,33-1,15,1
1264,33-1,16,1
1265,33-1,17,1
1266,33-1,18,0
1267,33-1,19,1
1268,33-1,20,1
1269,33-1,21,1
1270,33-1,22,0
1271,33-1,23,0
1272,33-2,0,1
1273,33-2,1,1
1274,33-2,2,1
1275,33-2,3,1
1276,33-2,4,1
1277,33-2,5,1
1278,33-2,6,1
1279,33-2,7,2
1280,33-2,8,3
1281,33-2,9,2
1282,33-2,10,3
1283,33-2,11,4
1284,33-2,12,3
1285,33-2,13,2
1286,33-2,14,1
1287,33-2,15,1
1288,33-2,16,2
1289,33-2,17,2
1290,33-2,18,3
1291,33-2,19,3
1292,33-2,20,4
1293,33-2,21,3
1294,33-2,22,1
1295,33-2,23,1
1296,34-1,0,8
1297,34-1,1,10
1298,34-1,2,10
1299,34-1,3,10
1300,34-1,4,10
1301,34-1,5,10
1302,34-1,6,13
1303,34-1,7,27
1304,34-1,8,37
1305,34-1,9,46
1306,34-1,10,49
1307,34-1,11,43
1308,34-1,12,36
1309,34-1,13,34
1310,34-1,14,31
1311,34-1,15,30
1312,34-1,16,28
1313,34-1,17,28
1314,34-1,18,26
1315,34-1,19,27
1316,34-1,20,28
1317,34-1,21,25
1318,34-1,22,10
1319,34-1,23,10
1320,34-2,0,27
1321,34-2,1,33
1322,34-2,2,33
1323,34-2,3,33
1324,34-2,4,33
1325,34-2,5,33
1326,34-2,6,37
1327,34-2,7,54
1328,34-2,8,60
1329,34-2,9,96
1330,34-2,10,108
1331,34-2,11,99
1332,34-2,12,85
1333,34-2,13,64
1334,34-2,14,44
1335,34-2,15,33
1336,34-2,16,27
1337,34-2,17,26
1338,34-2,18,30
1339,34-2,19,38
1340,34-2,20,54
1341,34-2,21,64
1342,34-2,22,33
1343,34-2,23,33
